geoid,tract_2020,tract_name,total_pop_2010,black_pop_2010,pct_black_2010_percent,total_pop_2020,black_pop_2020,pct_black_2020_percent,black_pop_change,pct_black_change_pp,total_pop_2010_redistrict,black_pop_2010_redistrict,pct_black_2010_percent_redistrict,total_pop_2020_redistrict,black_pop_2020_redistrict,pct_black_2020_percent_redistrict,black_pop_change_redistrict,pct_black_change_pp_redistrict,tract_2010,n_geoid_2010_parents,tract_2010_norm,tract_2020_norm,civilian_labor_force_2010,employed_2010,in_labor_force_2010,population_16_years_and_over_2010,unemployed_2010,civilian_labor_force_2020,employed_2020,in_labor_force_2020,population_16_years_and_over_2020,unemployed_2020,no_2010_baseline,emp_change,lf_change,black_pop_change_used,pct_black_change_pp_used,z_black_disp,z_pct_black_disp,z_emp,z_lf,gri_raw,gri_z,gri_pct,gri_tier,dc_ward,quadrant,missing_gri_data
11001006400,64.0,Census Tract 64; District of Columbia; District of Columbia,2139.0,1860.0,86.96,2481,1646,66.34,-214.0,-20.62,2139.0,1860.0,86.96,2481,1646,66.34,-214.0,-20.62,64.0,1,64.0,64.0,751.0,539.5,685.5,1488.0,161.0,957.0,766.0,867.0,1943.0,119.0,False,226.5,181.5,-214.0,-20.62,0.214,1.075,-0.306,-0.433,0.55,0.183,0.649,Moderate,6,SW,False
11001006500,65.0,Census Tract 65; District of Columbia; District of Columbia,2531.0,228.0,9.01,2609,113,4.33,-115.0,-4.68,2531.0,228.0,9.01,2609,113,4.33,-115.0,-4.68,65.0,1,65.0,65.0,1669.333,1518.0,1555.0,2311.0,46.0,1499.333,1251.5,1358.5,2577.0,110.0,False,-266.5,-196.5,-115.0,-4.68,-0.033,-0.541,-1.787,-1.583,-3.944,-1.312,0.058,Very Low,6,SE,False
11001006600,66.0,Census Tract 66; District of Columbia; District of Columbia,1909.0,58.0,3.04,2164,97,4.48,39.0,1.44,1909.0,58.0,3.04,2164,97,4.48,39.0,1.44,66.0,1,66.0,66.0,1115.667,988.5,1016.0,1692.0,25.0,1108.333,976.0,991.0,1805.0,15.0,False,-12.5,-25.0,39.0,1.44,-0.417,-1.161,-1.024,-1.061,-3.664,-1.219,0.097,Very Low,6,SE,False
11001006700,67.0,Census Tract 67; District of Columbia; District of Columbia,3775.0,452.0,11.97,3927,298,7.59,-154.0,-4.38,3775.0,452.0,11.97,3927,298,7.59,-154.0,-4.38,67.0,1,67.0,67.0,2292.333,2013.5,2092.0,3541.0,72.0,2438.0,2095.5,2197.5,3833.0,89.0,False,82.0,105.5,-154.0,-4.38,0.065,-0.571,-0.74,-0.664,-1.911,-0.636,0.273,Low,6,SE,False
11001006801,68.01,Census Tract 68.01; District of Columbia; District of Columbia,1949.0,1192.0,61.16,2238,765,34.18,-427.0,-26.98,1949.0,1192.0,61.16,2238,765,34.18,-427.0,-26.98,68.01,1,68.01,68.01,990.333,810.0,912.5,1530.0,118.0,1440.667,1215.0,1288.5,2188.0,111.0,False,405.0,376.0,-427.0,-26.98,0.746,1.719,0.23,0.159,2.855,0.95,0.851,High,7,SE,False
11001006802,68.02,Census Tract 68.02; District of Columbia; District of Columbia,2084.0,1022.0,49.04,2580,678,26.28,-344.0,-22.76,2084.0,1022.0,49.04,2580,678,26.28,-344.0,-22.76,68.02,1,68.02,68.02,1156.667,1013.5,1047.5,1775.0,48.0,1453.0,1252.0,1371.5,2147.0,102.0,False,238.5,324.0,-344.0,-22.76,0.539,1.291,-0.27,0.001,1.562,0.519,0.74,Moderate,7,SE,False
11001006804,68.04,Census Tract 68.04; District of Columbia; District of Columbia,3670.0,3225.0,87.87,2429,1934,79.62,-1291.0,-8.25,3670.0,3225.0,87.87,2429,1934,79.62,-1291.0,-8.25,68.04,1,68.04,68.04,2.0,1.5,1.5,2496.0,0.0,137.333,82.0,127.0,2915.0,45.0,False,80.5,125.5,-1291.0,-8.25,2.904,-0.179,-0.745,-0.603,1.377,0.458,0.721,Moderate,7,SE,False
11001006900,69.0,Census Tract 69; District of Columbia; District of Columbia,2179.0,636.0,29.19,2799,535,19.11,-101.0,-10.08,2179.0,636.0,29.19,2799,535,19.11,-101.0,-10.08,69.0,1,69.0,69.0,1219.667,1011.0,1127.0,1924.0,106.0,1551.333,1409.5,1420.5,2168.0,11.0,False,398.5,293.5,-101.0,-10.08,-0.068,0.006,0.211,-0.092,0.058,0.019,0.558,Moderate,6,SE,False
11001007000,70.0,Census Tract 70; District of Columbia; District of Columbia,2812.0,433.0,15.4,2697,333,12.35,-100.0,-3.05,2812.0,433.0,15.4,2697,333,12.35,-100.0,-3.05,70.0,1,70.0,70.0,1268.0,1108.0,1231.0,2084.0,48.0,1508.333,1294.0,1478.5,2404.0,85.0,False,186.0,247.5,-100.0,-3.05,-0.07,-0.706,-0.428,-0.232,-1.436,-0.478,0.338,Low,6,SE,False
11001007100,71.0,Census Tract 71; District of Columbia; District of Columbia,2911.0,1703.0,58.5,3218,1442,44.81,-261.0,-13.69,2911.0,1703.0,58.5,3218,1442,44.81,-261.0,-13.69,71.0,1,71.0,71.0,1376.0,957.0,1272.5,2434.0,348.0,1398.333,1062.0,1253.5,3016.0,216.0,False,105.0,-19.0,-261.0,-13.69,0.332,0.372,-0.671,-1.043,-1.01,-0.336,0.377,Low,6,SE,False
